avgCushion,avgExpectedYAC,avgIntendedAirYards,avgSeparation,avgYAC,avgYACAboveExpectation,catchPercentage,percentShareOfIntendedAirYards,recTouchdowns,receptions,targets,yards,player_x,playerName,position,teamId,season,player_clean,team_abbr,total_round_trip_miles,birth_date,turf_percentage,player_y,total_snaps,avg_opponent_pass_epa,sos_win_pct,age_season_start,height,weight,forty
7.4906,4.231568179,12.90403846,3.012980894,4.755172414,0.523604235,55.76923077,13.65420578,5,29,52,402,"{'season': 2018, 'currentTeamId': '2510', 'displayName': 'Josh Reynolds', 'esbId': 'REY398905', 'firstName': 'Joshua', 'footballName': 'Josh', 'gsisId': '00-0033943', 'gsisItId': 44930, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/yzpzvlpz5n7dmxue0geq', 'jerseyNumber': 83, 'lastName': 'Reynolds', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'J.Reynolds', 'smartId': '32005245-5939-8905-3a79-3286353be377', 'status': 'ACT'}",josh reynolds,WR,2510,2018,josh reynolds,LA,19567.80407,1995-02-16,0.1875,Josh Reynolds,783,0.03319067,0.5018874585845419,23,75.0,192.0,4.52
7.337777778,4.299774568,19.1077027,2.736569947,4.554634146,0.254859579,55.40540541,21.42304132,4,41,74,774,"{'season': 2018, 'currentTeamId': '4900', 'displayName': 'DeSean Jackson', 'esbId': 'JAC127681', 'firstName': 'DeSean', 'footballName': 'DeSean', 'gsisId': '00-0026189', 'gsisItId': 33130, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/vkfjfhbfr6e02jmsw2oc', 'jerseyNumber': 11, 'lastName': 'Jackson', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'D.Jackson', 'smartId': '32004a41-4312-7681-93f9-b06ab3ee3184', 'status': 'ACT', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",desean jackson,WR,4900,2018,desean jackson,TB,11937.85766,1986-12-01,0.3125,DeSean Jackson,452,0.056278113,0.5088337418300654,31,70.0,175.0,4.35
7.127454545,4.216796353,13.15892857,3.222742803,4.674864865,0.458068512,66.07142857,23.00196027,1,37,56,466,"{'season': 2018, 'currentTeamId': '2100', 'displayName': 'Taywan Taylor', 'esbId': 'TAY716250', 'firstName': 'Taywan', 'footballName': 'Taywan', 'gsisId': '00-0033911', 'gsisItId': 44884, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/irvga1akmv2wze57jykn', 'jerseyNumber': 13, 'lastName': 'Taylor', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'T.Taylor', 'smartId': '32005441-5971-6250-197f-078bbce0e7cb', 'status': 'ACT'}",taywan taylor,WR,2100,2018,taywan taylor,TEN,12049.56799,1995-03-02,0.3125,Taywan Taylor,446,0.009323124,0.5104878848469212,23,71.0,203.0,4.5
6.972650602,3.832633577,11.03849462,3.467761146,3.563283582,-0.269349994,72.04301075,23.00547024,2,67,93,688,"{'season': 2018, 'currentTeamId': '0810', 'displayName': 'Taylor Gabriel', 'esbId': 'GAB627060', 'firstName': 'Taylor', 'footballName': 'Taylor', 'gsisId': '00-0031228', 'gsisItId': 42016, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/nc4aoax8j5mnnrjewu7p', 'jerseyNumber': 18, 'lastName': 'Gabriel', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'T.Gabriel', 'smartId': '32004741-4262-7060-f2df-7bd304949774', 'status': 'ACT'}",taylor gabriel,WR,810,2018,taylor gabriel,CHI,12825.42167,1991-02-17,0.25,Taylor Gabriel,881,0.037970804,0.4291239199498169,27,68.0,167.0,4.4
6.727692308,2.545113782,12.16446154,2.419483285,2.931025641,0.385911859,60.0,19.15227059,5,39,65,494,"{'season': 2018, 'currentTeamId': '0750', 'displayName': 'Curtis Samuel', 'esbId': 'SAM633285', 'firstName': 'Curtis', 'footballName': 'Curtis', 'gsisId': '00-0033282', 'gsisItId': 44852, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/i86hox9nhzunhykpexpg', 'jerseyNumber': 10, 'lastName': 'Samuel', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'C.Samuel', 'smartId': '32005341-4d63-3285-ce5d-61e91947654e', 'status': 'ACT'}",curtis samuel,WR,750,2018,curtis samuel,CAR,6950.342707,1996-08-11,0.1875,Curtis Samuel,467,0.06615784,0.4936683006535948,22,71.0,195.0,4.31
6.683414634,5.794257488,8.598909091,3.541262449,7.74925,1.954992512,72.72727273,9.623731511,6,40,55,566,"{'season': 2018, 'currentTeamId': '2510', 'displayName': 'Cooper Kupp', 'esbId': 'KUP534597', 'firstName': 'Cooper', 'footballName': 'Cooper', 'gsisId': '00-0033908', 'gsisItId': 44881, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/kfmofyneoponii4twxdq', 'jerseyNumber': 18, 'lastName': 'Kupp', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'C.Kupp', 'smartId': '32004b55-5053-4597-b958-87408c31956f', 'status': 'RES', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR'}",cooper kupp,WR,2510,2018,cooper kupp,LA,19567.80407,1993-06-15,0.1875,Cooper Kupp,439,0.03319067,0.5018874585845419,25,74.0,208.0,4.62
6.647058824,4.083272042,9.690428571,2.877394864,3.886315789,-0.196956253,54.28571429,18.31918203,1,38,70,491,"{'season': 2018, 'currentTeamId': '2250', 'displayName': 'Keelan Cole', 'esbId': 'COL130738', 'firstName': 'Keelan', 'footballName': 'Keelan', 'gsisId': '00-0033681', 'gsisItId': 45555, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/bhjafw7r4aflwm11iynh', 'jerseyNumber': 84, 'lastName': 'Cole', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'K.Cole', 'smartId': '3200434f-4c13-0738-9b9e-38aa1121bdd9', 'status': 'ACT'}",keelan cole,WR,2250,2018,keelan cole,JAX,11845.4414,1993-04-20,0.3125,Keelan Cole,687,0.021652013,0.5401294289645683,25,73.0,194.0,4.59
6.627878788,4.232014621,6.619761905,3.316909019,4.490740741,0.25872612,64.28571429,13.36801591,2,54,84,558,"{'season': 2018, 'currentTeamId': '5110', 'displayName': 'Jordan Reed', 'esbId': 'REE302847', 'firstName': 'Jordan', 'footballName': 'Jordan', 'gsisId': '00-0030472', 'gsisItId': 40033, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/jur0qgejd3lzv8flmxcq', 'jerseyNumber': 86, 'lastName': 'Reed', 'position': 'TE', 'positionGroup': 'TE', 'shortName': 'J.Reed', 'smartId': '32005245-4530-2847-ba4d-b3c01fedf34c', 'status': 'RES', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'TE'}",jordan reed,TE,5110,2018,jordan reed,WAS,13070.916,1990-07-03,0.1875,Jordan Reed,512,0.06458592,0.4762050653594771,28,74.0,245.0,4.72
6.573623188,3.711079315,13.487,3.339030554,4.189473684,0.478394369,81.42857143,24.4369553,10,57,70,965,"{'season': 2018, 'currentTeamId': '4600', 'displayName': 'Tyler Lockett', 'esbId': 'LOC420915', 'firstName': 'Tyler', 'footballName': 'Tyler', 'gsisId': '00-0032211', 'gsisItId': 42412, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/kwcxus7rlqurps3gbbwu', 'jerseyNumber': 16, 'lastName': 'Lockett', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'T.Lockett', 'smartId': '32004c4f-4342-0915-1af7-ec50f437887c', 'status': 'ACT'}",tyler lockett,WR,4600,2018,tyler lockett,SEA,24565.10818,1992-09-28,0.5625,Tyler Lockett,958,0.03545595,0.4787644934134645,25,70.0,182.0,4.4
6.569487179,4.307956178,10.49510638,3.063075756,3.358571429,-0.949384749,59.57446809,11.85850665,0,28,47,304,"{'season': 2018, 'currentTeamId': '5110', 'displayName': 'Maurice Harris', 'esbId': 'HAR485163', 'firstName': 'Maurice', 'footballName': 'Maurice', 'gsisId': '00-0032362', 'gsisItId': 43563, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/w31fw8vgazrlgvyp2szu', 'jerseyNumber': 13, 'lastName': 'Harris', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'M.Harris', 'smartId': '32004841-5248-5163-915a-8240910dd87e', 'status': 'RES', 'suffix': 'Jr.', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",maurice harris,WR,5110,2018,maurice harris,WAS,13070.916,1992-11-11,0.1875,Maurice Harris,462,0.06458592,0.4762050653594771,25,75.0,200.0,
